Title,Authors,Publisher,PublishedDate,ISBN,PageCount,Categories,AverageRating,RatingsCount,Language,TitleWordCount
Z-Rated: Chocolate Flava 3,Zane,Simon and Schuster,2012-08-28,9781451689631,354,Fiction,4.5,8,en,4
Lilac Girls,Martha Hall Kelly,Ballantine Books,2016-04-05,9781101883068,496,Fiction,4.0,1,en,2
"""B"" is for Burglar",Sue Grafton,Holt Paperbacks,2010-04-01,9781429922258,321,Fiction,3.0,5,en,4
Spencer's New Pet,Jessie Sima,Simon & Schuster Books for Young Readers,2019-08-27,9781534418776,56,Juvenile Fiction,4.0,1,en,3
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Penguin,2022-07-05,9780735243354,452,Fiction,5.0,2,en,5
Assholes Finish First,Tucker Max,Simon and Schuster,2011-10-18,9781439198698,434,Biography & Autobiography,5.0,1,en,3
Minecraft: The Island,Max Brooks,Random House Worlds,2017-07-18,9780399181788,218,Juvenile Fiction,4.0,11,en,3
Hilarity Ensues,Tucker Max,Simon and Schuster,2012-02-07,9781451669053,621,Humor,4.0,43,en,2
Zeroes,"Scott Westerfeld, Margo Lanagan, Deborah Biancotti",Simon and Schuster,2015-09-29,9781481443388,576,Young Adult Fiction,4.0,1,en,1
Zoya,Danielle Steel,Dell,2009-02-25,9780307567062,514,Fiction,5.0,3,en,1
Humans of New York: Stories,Brandon Stanton,Pan Macmillan,2015-10-13,9781509811250,433,Photography,5.0,1,en,5
"Dragon Ball Z ""It's Over 9,000!"" When Worldviews Collide",Derek Padula,Derek Padula,2012-09-09,9780983120520,172,Social Science,4.5,11,ar,9
The Good War,Studs Terkel,"New Press, The",1997-01-01,9781565843431,610,History,5.0,1,en,3
System z Crypto and TKE Update,"Karan Singh, Lennie Dymoke-Bradshaw, Pekka Hanninen, Patrick Kappeler, IBM Redbooks",IBM Redbooks,2011-06-20,9780738435541,328,Computers,5.0,3,en,6
A TO Z OF YOU & ME,Jeremy Mifsud,Blurb,2016-12-24,9781366582089,60,Poetry,5.0,1,en,7
"Dragon Ball Z, Vol. 18",Akira Toriyama,VIZ Media LLC,2011-07-15,9781421545547,192,Comics & Graphic Novels,5.0,1,en,5
The A to Z of Animation and Cartoons,Nichola Dobson,Scarecrow Press,2010-04-01,9781461664024,311,Art,5.0,1,en,8
Exquisite Corpse,Poppy Z. Brite,Gallery Books,1997-08-20,9780684836270,244,Fiction,4.5,4,en,2
Kinn's The Medical Assistant - E-Book,"Deborah B. Proctor, Alexandra Patricia Adams",Elsevier Health Sciences,2014-03-27,9780323292894,1379,Medical,5.0,1,en,6
Brenner and Rector's The Kidney E-Book,"Alan S. L. Yu, Glenn M. Chertow, Valerie Luyckx, Philip A. Marsden, Karl Skorecki, Maarten W. Taal",Elsevier Health Sciences,2015-10-25,9780323262590,3585,Medical,3.0,2,en,6
E-Prime III!,"Delphus David Bourland, Paul Dennithorne Johnston",Institute of GS,1997-01-01,9780918970466,598,Language Arts & Disciplines,5.0,1,en,2
One for the Books,Joe Queenan,Penguin,2012-10-25,9781101601198,192,Literary Criticism,3.0,1,en,4
Riding the Bullet,Stephen King,Simon and Schuster,2000-03-14,9780743204675,69,Fiction,4.0,8,en,3
Raising Generation Tech,Jim Taylor,"Sourcebooks, Inc.",2012-08-01,9781402266775,248,Family & Relationships,1.0,1,en,3
"Tap, Click, Read","Lisa Guernsey, Michael H. Levine",John Wiley & Sons,2015-08-14,9781119091752,304,Education,5.0,1,en,3
The Land,Mildred D. Taylor,Penguin,2001-01-01,9780803719507,400,Juvenile Fiction,5.0,3,en,2
Court,Tracy Wolff,Entangled: Teen,2022-02-01,9781649370617,1053,Young Adult Fiction,5.0,1,en,1
Lawn Boy,Gary Paulsen,Yearling,2009-03-24,9780553494655,98,Juvenile Fiction,3.5,2,en,2
"Reader, Come Home",Maryanne Wolf,HarperCollins,2018-08-14,9780062388797,233,Science,3.0,2,en,3
Flat Broke with Two Goats,Jennifer McGaha,"Sourcebooks, Inc.",2018-01-23,9781492655398,272,Biography & Autobiography,1.0,1,en,5
Roman Architecture,Frank Sear,Routledge,2002-01-04,9781134635788,289,History,4.0,1,en,2
E-Myth Mastery,Michael E. Gerber,Harper Collins,2009-10-13,9780061741630,466,Business & Economics,4.5,2,en,2
Ella Enchanted,Gail Carson Levine,Harper Collins,2012-12-26,9780062253484,304,Juvenile Fiction,4.5,8,en,2
The Site Reliability Workbook,"Betsy Beyer, Niall Richard Murphy, David K. Rensin, Kent Kawahara, Stephen Thorne","""O'Reilly Media, Inc.""",2018-07-25,9781492029458,505,Computers,5.0,1,en,4
The Internet Encyclopedia,Hossein Bidgoli,John Wiley & Sons,2004-01-01,9780471222026,980,Business & Economics,1.0,1,en,3
Firefly Lane,Kristin Hannah,St. Martin's Press,2008-02-05,9781429927840,532,Fiction,4.0,11,en,2
Global Health 101,Skolnik,Jones & Bartlett Publishers,2016-01-01,9781284050547,618,Medical,5.0,1,en,3
Finlay Donovan Is Killing It,Elle Cosimano,Minotaur Books,2021-02-02,9781250242204,305,Fiction,4.5,2,en,5
East of Eden,John Steinbeck,Penguin,2002-02-05,9781440631320,612,Fiction,4.5,13,en,3
The Book of Night Women,Marlon James,Penguin,2009-02-19,9781101011317,436,Fiction,4.5,7,en,5
No Shelf Required,American Library Association,American Library Association,2011-01-01,9780838910542,209,Language Arts & Disciplines,5.0,1,en,3
The Pout-Pout Fish,Deborah Diesen,"Farrar, Straus and Giroux (BYR)",2008-03-18,9781429916332,36,Juvenile Fiction,3.0,2,en,3
On Reading Books to Children,"Anne van Kleeck, Steven A. Stahl, Eurydice B. Bauer",Routledge,2003-04-02,9781135643744,404,Education,5.0,1,en,5
The Longest Road,Philip Caputo,Macmillan,2013-07-16,9780805094466,321,Biography & Autobiography,2.0,1,en,3
The Worst Hard Time,Timothy Egan,HarperCollins,2006-09-01,9780547347776,353,History,3.5,29,en,4
Educated,Tara Westover,Random House,2018-02-20,9780399590511,352,Biography & Autobiography,4.5,6,en,1
We Were Liars,E. Lockhart,Delacorte Press,2014-05-13,9780375984402,242,Young Adult Fiction,4.0,3,en,3
Untamed,Glennon Doyle,Dial Press,2020-03-10,9781984801265,352,Biography & Autobiography,5.0,2,en,1
Electrical Engineering,"Ralf Kories, Heinz Schmidt-Walter",Springer Science & Business Media,2003-07-09,9783540439653,650,Technology & Engineering,4.0,2,en,2
Hell's Corner,David Baldacci,Pan Macmillan,2010-12-31,9780230758025,641,Fiction,5.0,2,en,2
Seaboard Air Line Railway,Richard E. Prince,Indiana University Press,2000-01-01,9780253336958,280,Transportation,5.0,1,en,4
Ecological Economics,"Herman E. Daly, Joshua C. Farley",Island Press,2004-01-01,9781559633123,488,Business & Economics,4.0,4,en,2
Nutrition,"Julian E. Spallholz, Mallory Boylan, Judy A. Driskell",CRC Press,1998-12-08,9780849385049,366,Medical,3.5,2,en,1
Google Analytics 2.0,"Jerri L. Ledford, Mary E. Tyler",John Wiley & Sons,2009-06-17,9780470549421,338,Computers,5.0,1,en,3
Somalia,Bronwyn E. Bruton,Council on Foreign Relations,2010-01-01,9780876094877,61,Political Science,3.0,3,en,1
A Heartwarming Romance Collection,Wanda E. Brunstetter,Barbour Publishing,2020-07-01,9781643525372,547,Fiction,4.0,1,en,4
Cowpens Battlefield,Lawrence E. Babits,The Overmountain Press,1993-01-01,9780932807793,84,History,5.0,1,en,2
Water Quality Control Handbook,E. Roberts Alley,McGraw Hill Professional,2000-01-01,9780070014138,1372,Science,5.0,1,en,4
M Or F?,"Lisa Papademetriou, Christopher Tebbetts",Penguin,2005-01-01,9781595140913,324,Juvenile Fiction,4.5,2,en,3
The F-Word,Jesse Sheidlower,Oxford University Press,2009-09-04,9780199751556,322,Reference,4.0,2,en,2
Mathematical Analysis,Bernd S. W. Schröder,John Wiley & Sons,2008-01-28,9780470226766,584,Mathematics,1.0,1,en,2
The Subtle Art of Not Giving a F*ck,Mark Manson,HarperCollins,2016-09-13,9780062457738,197,Self-Help,4.0,17,en,8
Amphigorey Also,Edward Gorey,Houghton Mifflin Harcourt,1993-01-01,9780156056724,260,Art,4.5,3,en,2
F Is for Feelings,"Goldie Millar, Lisa A. Berger",Free Spirit Publishing,2014-07-07,9781575425856,42,Juvenile Nonfiction,3.0,1,en,4
"""F"" is for Fugitive",Sue Grafton,Holt Paperbacks,2010-04-01,9781429909792,320,Fiction,4.0,6,en,4
Willpower,"Roy F. Baumeister, John Tierney",Penguin,2011-09-01,9781101543771,272,Psychology,4.0,4,en,1
The Girl who Fell from the Sky,Heidi W. Durrow,Algonquin Books,2011-01-01,9781616200152,300,Fiction,4.0,3,en,7
From Counterculture to Cyberculture,Fred Turner,University of Chicago Press,2010-10-15,9780226817439,340,History,3.5,3,en,4
The F Team,Rawah Arja,Giramondo Publishing,2020-09-01,9781925818550,377,Juvenile Fiction,5.0,2,en,3
The Life-Changing Magic of Not Giving a F**k,Sarah Knight,Hachette UK,2015-12-31,9781784298494,126,Self-Help,2.5,2,en,8
The F- It List,Julie Halpern,Feiwel & Friends,2013-11-12,9781466848498,257,Young Adult Fiction,4.5,2,en,4
The Foot Book,Dr. Seuss,Random House Books for Young Readers,2016-01-12,9780553536300,24,Juvenile Fiction,2.5,2,en,3
How the Grinch Stole Christmas,Dr. Seuss,RH Childrens Books,2013-10-22,9780385372039,33,Juvenile Fiction,2.0,2,en,5
Me and White Supremacy,Layla F. Saad,"Sourcebooks, Inc.",2020-01-28,9781728209814,177,Social Science,5.0,2,en,4
"Computer Networking: A Top-Down Approach Featuring the Internet, 3/e",James F. Kurose,Pearson Education India,2005-01-01,9788177588781,820,Computer networks,5.0,2,en,9
Everything Is F*cked,Mark Manson,HarperCollins,2019-05-14,9780062888471,291,Self-Help,3.5,6,en,3
End of History and the Last Man,Francis Fukuyama,Simon and Schuster,2006-03-01,9781416531784,464,History,5.0,1,en,7
White Fragility,Dr. Robin DiAngelo,Beacon Press,2018-06-26,9780807047422,194,Social Science,1.0,5,en,2
Hole in My Life,Jack Gantos,"Farrar, Straus and Giroux (BYR)",2002-03-26,9780374706104,210,Young Adult Nonfiction,4.0,1,en,4
Big Nate: Blow the Roof Off!,Lincoln Peirce,Andrews McMeel Publishing,2020-03-03,9781524861476,175,Juvenile Fiction,4.5,10,en,6
Big Nate: Aloha!,Lincoln Peirce,Andrews McMeel Publishing,2021-08-31,9781524873806,176,Juvenile Fiction,5.0,1,en,3
Pathology and Genetics of Tumours of Soft Tissue and Bone,"World Health Organization, International Agency for Research on Cancer",IARC,2002-01-01,9789283224136,416,Bones,5.0,4,en,10
How the Irish Saved Civilization,Thomas Cahill,Anchor,2010-04-28,9780307755131,274,History,1.0,1,en,5
Fibonacci’s Liber Abaci,Laurence Sigler,Springer Science & Business Media,2012-12-06,9781461300793,736,Mathematics,5.0,1,en,3
Why Zebras Don't Get Ulcers,Robert M. Sapolsky,Holt Paperbacks,2004-09-15,9781429935654,559,Self-Help,5.0,4,en,5
Mrs Death Misses Death,Salena Godden,Canongate Books,2021-01-28,9781838851200,260,Fiction,2.0,1,en,4
The Moral Arc,Michael Shermer,Macmillan + ORM,2015-01-20,9780805096934,592,Science,3.0,1,en,3
"John W. Schaum Piano Course, E: The Violet Book",John W. Schaum,Alfred Music,1999-12-13,9781457451119,52,Music,4.0,1,en,9
Robert Kennedy and His Times,Arthur Meier Schlesinger (Jr.),Houghton Mifflin Harcourt,1978-01-01,9780618219285,1092,Biography & Autobiography,5.0,1,en,5
The Keep,F. Paul Wilson,Macmillan,2000-05-15,9780812579253,420,Fiction,4.5,3,en,2
Models,Mark Manson,Pan Australia,2017-09-11,9781760558161,324,Family & Relationships,5.0,2,en,1
Dope Sick,Walter Dean Myers,Harper Collins,2009-10-06,9780061974977,215,Young Adult Fiction,4.0,5,en,2
Barking Up the Wrong Tree,Eric Barker,HarperCollins,2017-05-16,9780062416179,234,Business & Economics,2.0,1,en,5
Diary of a Wimpy Kid: Big Shot (Book 16),Jeff Kinney,Penguin UK,2021-10-26,9780241396995,228,Juvenile Fiction,5.0,3,en,9
Salvation,Peter F. Hamilton,Del Rey,2018-09-04,9780399178771,500,Fiction,4.0,1,en,1
Level Up Your Life,Steve Kamb,Rodale Books,2016-01-12,9781623365417,258,Self-Help,5.0,1,en,4
100 Cupboards (100 Cupboards Book 1),N. D. Wilson,Yearling,2007-12-26,9780375849862,322,Juvenile Fiction,3.5,6,en,6
Regulation and Markets,Daniel F. Spulber,MIT Press,1989-01-01,9780262192750,720,Business & Economics,2.0,1,en,3
The Taylorized Beauty of the Mechanical,Mauro F. Guillén,Princeton University Press,2006-01-01,9780691115207,234,Architecture,5.0,1,en,6
Plant Evolution and the Origin of Crop Species,James F. Hancock,CABI,2012-01-01,9781780641423,245,Science,5.0,1,en,8
The Unending Frontier,John F. Richards,Univ of California Press,2003-05-15,9780520939356,700,Nature,5.0,1,en,3
The Postfoundationalist Task of Theology,F. LeRon Shults,Wm. B. Eerdmans Publishing,1999-01-01,9780802846860,290,Philosophy,4.0,1,en,5
M Programming: A Comprehensive Guide,Richard Walters,Elsevier,1997-06-06,9780080510514,428,Computers,1.0,1,en,5
M Train,Patti Smith,Vintage,2015-10-06,9781101875117,222,Biography & Autobiography,4.0,1,en,2
Snappsy the Alligator (Did Not Ask to Be in This Book),Julie Falatko,Penguin,2016-02-02,9780698154940,44,Juvenile Fiction,5.0,1,en,11
I'm Sad,Michael Ian Black,Simon and Schuster,2018-06-05,9781481476287,40,Juvenile Fiction,1.0,1,en,2
The Reapers Are the Angels,Alden Bell,Holt Paperbacks,2010-08-03,9781429929677,238,Fiction,5.0,2,en,5
That's a Rap,"MattyB, Travis Thrasher",Simon and Schuster,2016-06-07,9781501133824,272,Juvenile Nonfiction,5.0,2,en,3
All Boys Aren't Blue,George M. Johnson,"Farrar, Straus and Giroux (BYR)",2020-04-28,9780374312725,191,Young Adult Nonfiction,1.0,1,en,4
The Land of Painted Caves (with Bonus Content),Jean M. Auel,Bantam,2011-03-29,9780307886651,850,Fiction,3.5,6,en,8
Duty,Robert M. Gates,Vintage,2014-01-14,9780307959485,673,Biography & Autobiography,1.0,1,en,1
I Am Yoga,Susan Verde,Abrams,2015-09-08,9781613128497,44,Juvenile Fiction,5.0,1,en,3
I'm Worried,Michael Ian Black,Simon and Schuster,2019-06-04,9781534415874,38,Juvenile Fiction,4.0,1,en,2
"I Am Martin Luther King, Jr.",Brad Meltzer,Rocky Pond Books,2016-01-05,9780525428527,50,Juvenile Nonfiction,5.0,1,en,6
Tupelov Tu-22 'Blinder' Tu-22M 'Backfire',"Yefim Gordon, Vladimir Rigmant",Specialty Press (MN),1998-01-01,9781857800654,100,History,4.0,1,en,5
Dying of Whiteness,Jonathan M. Metzl,Basic Books,2019-03-05,9781541644960,354,Social Science,2.0,2,en,3
Mike Mulligan and His Steam Shovel,Virginia Lee Burton,Houghton Mifflin Harcourt,2010-06-28,9780547350578,51,Juvenile Fiction,5.0,2,en,6
The Bad Seed,Jory John,HarperCollins,2018-05-08,9780062881861,42,Juvenile Fiction,3.0,7,en,3
Cloudy with a Chance of Meatballs,Judi Barrett,Simon and Schuster,2011-06-14,9781442443044,32,Juvenile Fiction,5.0,4,en,6
Get Some Headspace,Andy Puddicombe,Hodder Paperbacks,2012-01-01,9781444722208,214,"Body, Mind & Spirit",5.0,2,en,3
A Memory Called Empire,Arkady Martine,Tor Books,2019-03-26,9781250186454,459,Fiction,4.0,1,en,4
How High We Go in the Dark,Sequoia Nagamatsu,HarperCollins,2022-01-18,9780063072664,318,Fiction,3.0,1,en,7
The Couch Potato,Jory John,HarperCollins,2020-11-03,9780063026049,40,Juvenile Fiction,5.0,1,en,3
David Goes to School,David Shannon,Scholastic Inc.,2016-07-26,9780545529990,38,Juvenile Fiction,4.5,2,en,4
The Cabin at the End of the World,Paul Tremblay,HarperCollins,2018-06-26,9780062679123,309,Fiction,3.0,1,en,8
Out of My Mind,Sharon M. Draper,Simon and Schuster,,9781416971719,320,Juvenile Nonfiction,4.5,21,en,4
A Head Full of Ghosts,Paul Tremblay,HarperCollins,2015-06-02,9780062363251,320,Fiction,4.0,1,en,5
Stella by Starlight,Sharon M. Draper,Simon and Schuster,2015-01-06,9781442494992,352,Juvenile Fiction,5.0,1,en,3
Metaphors We Live By,"George Lakoff, Mark Johnson",University of Chicago Press,2008-12-19,9780226470993,292,Philosophy,5.0,3,en,4
I Moved Your Cheese,Deepak Malhotra,Berrett-Koehler Publishers,2013-09-02,9781609940676,70,Business & Economics,4.0,2,en,4
The Lost Heiress (Ladies of the Manor Book #1),Roseanna M. White,Baker Books,2015-09-01,9781441228819,448,Fiction,5.0,1,en,9
And Still I Rise,Maya Angelou,Random House,2011-08-17,9780307802064,65,Poetry,5.0,2,en,4
If You Give a Moose a Muffin,Laura Numeroff,Harper Collins,1991-09-30,9780060244057,40,Juvenile Fiction,3.0,2,en,7
Tears of a Tiger,Sharon M. Draper,Simon and Schuster,2006-02-01,9781416928317,188,Young Adult Fiction,4.5,82,en,4
Copper Sun,Sharon M. Draper,Simon and Schuster,2012-06-19,9781439115114,342,Young Adult Fiction,4.5,7,en,2
A Portrait of Loyalty (The Codebreakers Book #3),Roseanna M. White,Baker Books,2020-09-08,9781493428175,384,Fiction,4.5,5,en,8
Station Eleven,Emily St. John Mandel,Vintage,2014-09-09,9780385353311,357,Fiction,4.0,3,en,2
Although Of Course You End Up Becoming Yourself,David Lipsky,Crown,2010-04-13,9780307592446,354,Biography & Autobiography,5.0,1,en,8
The Number of Love (The Codebreakers Book #1),Roseanna M. White,Baker Books,2019-06-04,9781493418619,415,Fiction,5.0,2,en,8
The Fourteenth Goldfish,Jennifer L. Holm,Yearling,2016-04-05,9780375871146,242,Juvenile Fiction,4.5,3,en,3
There You Stand,Christina Lee,Penguin,2015-04-21,9780698408951,221,Fiction,4.0,1,en,3
The Good Egg,Jory John,HarperCollins,2019-03-05,9780062958372,43,Juvenile Fiction,5.0,3,en,3
Things We Do in the Dark,Jennifer Hillier,Minotaur Books,2022-07-19,9781250763174,346,Fiction,1.0,1,en,6
Chasing Magic,Stacia Kane,Del Rey,2012-06-26,9780345527530,386,Fiction,5.0,1,en,2
"Hey, That's MY Monster!",Amanda Noll,Flashlight Press,2016-09-01,9781936261871,37,Juvenile Fiction,5.0,1,en,4
"Septimus Heap, Book One: Magyk",Angie Sage,Harper Collins,2005-03-15,9780060577315,580,Juvenile Fiction,4.5,2,en,5
Secret of the Sands,Sara Sheridan,HarperCollins UK,2011-02-10,9780007352524,450,Fiction,5.0,1,en,4
Gross Anatomy,"Kyung Won Chung, Harold M. Chung",Lippincott Williams & Wilkins,2008-01-01,9780781771740,516,Medical,3.5,3,en,2
Thieme Atlas of Anatomy,"Michael Schünke, Lawrence M. Ross, Erik Schulte, Edward D. Lamperti, Udo Schumacher",Thieme,2007-01-01,9781588904416,436,Medical,5.0,3,en,4
Islam in Modern Turkey,Sukran Vahide,State University of New York Press,2012-02-16,9780791482971,442,Religion,5.0,1,en,4
Orca,Jason M. Colby,Oxford University Press,2018-05-01,9780190673109,409,History,5.0,1,en,1
Against A Dark Background,Iain M. Banks,Hachette UK,2008-09-04,9780748109982,495,Fiction,4.0,2,en,4
Principles of Adsorption and Adsorption Processes,Douglas M. Ruthven,John Wiley & Sons,1984-06-05,9780471866060,466,Technology & Engineering,5.0,1,en,6
Lazy B,"Sandra Day O'Connor, H. Alan Day",Random House Trade Paperbacks,2003-04-08,9780812966732,338,Biography & Autobiography,5.0,1,en,2
Junie B. Jones and the Stupid Smelly Bus,Barbara Park,Random House Books for Young Readers,2012-01-01,9780375868412,97,Juvenile Fiction,3.5,8,en,8
The Book with No Pictures,B. J. Novak,Penguin,2014-09-30,9780803741713,49,Juvenile Fiction,3.5,3,en,5
The Boxer and the Spy,Robert B. Parker,Penguin,2008-05-01,9781101077924,228,Young Adult Fiction,3.0,1,en,5
I Hope They Serve Beer In Hell,Tucker Max,Citadel                       ,2012-03-01,9780806535937,537,Humor,4.0,248,en,7
A Good Neighborhood,Therese Anne Fowler,Macmillan + ORM,2020-03-10,9781250237286,301,Fiction,5.0,1,en,3
REBEL'S CREED,Daniel Greene,Daniel Greene,2021-10-29,9781792374838,265,Fiction,3.0,2,en,2
Junie B. Jones #10: Junie B. Jones Is a Party Animal,Barbara Park,Random House Books for Young Readers,1997-09-16,9780679886631,82,Juvenile Fiction,5.0,1,en,11
What If You Had Animal Teeth?,Sandra Markle,Scholastic Inc.,2017-01-31,9781338182569,36,Juvenile Nonfiction,3.0,1,en,6
P-adic Deterministic and Random Dynamics,"Andrei Y. Khrennikov, Marcus Nilsson",Springer Science & Business Media,2004-10-18,9781402026591,296,Science,5.0,1,en,5
The Next Right Thing,Emily P. Freeman,Revell,2019-04-02,9781493419012,215,Religion,5.0,3,en,4
Why Should White Guys Have All the Fun?,"Reginald F. Lewis, Blair S. Walker",Black Classic Press,,9781574780369,358,Biography & Autobiography,4.5,5,en,8
Futuring,Edward Cornish,World Future Society,2004-01-01,9780930242572,348,Education,4.0,1,en,1
Tacky and the Emperor,Helen Lester,Houghton Mifflin Harcourt,2002-01-01,9780618260096,32,Juvenile Fiction,4.0,1,en,4
SQL in a Nutshell,"Kevin Kline, Brand Hunt, Daniel Kline","""O'Reilly Media, Inc.""",2004-09-24,9781449378936,714,Computers,2.5,4,en,4
Instant Heat Maps in R,Sebastian Raschka,Packt Publishing Ltd,2013-01-01,9781782165651,151,Computers,5.0,1,en,5
How We Know What Isn't So,Thomas Gilovich,Simon and Schuster,2008-06-30,9781439106747,228,Psychology,4.0,6,en,6
How to Talk About Books You Haven't Read,Pierre Bayard,Bloomsbury Publishing USA,2010-08-10,9781596917149,129,Literary Criticism,4.0,1,en,8
The Lost Heir (Wings of Fire #2),Tui T. Sutherland,Scholastic Inc.,2013-01-01,9780545470100,406,Juvenile Fiction,5.0,7,en,7
The Dragonet Prophecy (Wings of Fire #1),Tui T. Sutherland,Scholastic Inc.,2012-07-01,9780545443173,408,Juvenile Fiction,4.5,10,en,7
Don’t Push the Button!,Bill Cotter,"Sourcebooks, Inc.",,9781402287480,32,Juvenile Fiction,5.0,1,en,4
Don't Burn This Book,Dave Rubin,Hachette UK,2020-04-28,9781472134493,167,Social Science,1.5,7,en,4
Bacterial Fish Pathogens,"B. Austin, D.A. Austin",Springer Science & Business Media,2007-11-25,9781402060694,594,Science,5.0,1,en,3
V: The Second Generation,Kenneth Johnson,Macmillan,2008-02-05,9780765319074,460,Fiction,3.0,1,en,4
A Long Walk to Water,Linda Sue Park,Houghton Mifflin Harcourt,2010-01-01,9780547251271,145,Juvenile Fiction,5.0,1,en,5
The Thriving Adolescent,"Louise L. Hayes, Joseph V. Ciarrochi",New Harbinger  Publications,2015-11-01,9781608828043,332,Psychology,5.0,1,en,3
Grit,Angela Duckworth,Simon and Schuster,2016-05-03,9781501111129,350,Self-Help,3.5,2,en,1
The Lorax,Dr. Seuss,RH Childrens Books,2013-09-24,9780385372022,36,Juvenile Fiction,3.0,3,en,2
How Apollo Flew to the Moon,W. David Woods,Springer Science & Business Media,2011-08-08,9781441971791,582,Science,5.0,1,en,6
Principles,Ray Dalio,Simon and Schuster,2018-08-07,9781982112387,560,Business & Economics,5.0,1,en,1
Where the Wild Things Are,Maurice Sendak,Harper Collins,1988-11-09,9780064431781,50,Juvenile Fiction,3.0,5,en,5
Herodotus: Histories Book IX,Herodotus,Cambridge University Press,2002-12-05,9780521596503,380,History,5.0,1,en,4
Mystic,Jason Denzel,Tor Books,2015-11-03,9781466885684,320,Fiction,2.0,1,en,1
A Series of Unfortunate Events #3: The Wide Window,Lemony Snicket,Harper Collins,2000-02-02,9780064407687,230,Juvenile Fiction,4.0,2,en,9
The Voice in My Head,Dana L. Davis,Harlequin,2019-05-28,9781488038853,311,Young Adult Fiction,4.0,3,en,5
Upgrade,Blake Crouch,Ballantine Books,2022-07-12,9780593157534,353,Fiction,5.0,2,en,1
Oona Out of Order,Margarita Montimore,Flatiron Books,2020-02-25,9781250236593,280,Fiction,4.0,1,en,4
Daemon,Daniel Suarez,Penguin,2009-01-08,9781101007518,482,Fiction,4.5,44,en,1
The Wall,Eve Bunting,Houghton Mifflin Harcourt,1990-01-01,9780395629772,36,Juvenile Fiction,5.0,1,en,2
Maddi's Fridge,"Lois Brandt, Vin Vogel",Flashlight Press,2014-11-01,9781936261383,34,Juvenile Fiction,5.0,1,en,2
"Arnie, the Doughnut",Laurie Keller,Henry Holt and Company (BYR),2003-04-01,9781429940016,44,Juvenile Fiction,5.0,1,en,3
The Voice on the Radio,Caroline B. Cooney,Laurel Leaf,2008-10-14,9780375892073,210,Young Adult Fiction,4.5,3,en,5
Inherent Vice,Thomas Pynchon,Penguin,2012-06-13,9781101594674,385,Fiction,2.5,13,en,2
Streetlights and Shadows,Gary A. Klein,MIT Press,2011-09-30,9780262258340,355,Business & Economics,4.0,2,en,3
COMPUTER PROGRAMMING IN FORTRAN 77,V. RAJARAMAN,PHI Learning Pvt. Ltd.,1997-01-01,9788120311725,212,Computers,2.5,4,en,5
Benjamin V. Cohen,William Lasser,Yale University Press,2008-10-01,9780300128888,411,Political Science,5.0,1,en,3
Stereoelectronic Effects,Igor V. Alabugin,John Wiley & Sons,2016-10-17,9781118906347,404,Science,4.0,2,en,2
Effective Modern C++,Scott Meyers,"""O'Reilly Media, Inc.""",2014-11-11,9781491908426,334,Computers,5.0,2,en,3
Python For Dummies,"Stef Maruch, Aahz Maruch",John Wiley & Sons,2011-05-09,9781118084847,443,Computers,2.0,3,en,3
Vitamin D,"David Feldman, J. Wesley Pike, Francis H. Glorieux",Elsevier,2005-01-25,9780080543642,1970,Medical,3.0,2,en,2
Vitamin D,"Martin Hewison, Roger Bouillon, Edward Giovannucci, David Goltzman",Academic Press,2017-12-14,9780128099643,1268,Science,5.0,1,en,2
Vitamin D,"Martin Hewison, Roger Bouillon, Edward Giovannucci, David Goltzman",Academic Press,2017-12-14,9780128099667,1182,Science,5.0,1,en,2
Vitamin D,Anthony Norman,Elsevier,2012-12-02,9780323141437,509,Medical,5.0,1,en,2
Vitamin D and Cancer,"Donald L. Trump, Candace S. Johnson",Springer Science & Business Media,2010-12-09,9781441971883,348,Medical,2.0,1,en,4
Vitamin D Analogs in Cancer Prevention and Therapy,"J. Reichrath, M. Friedrich, W. Tilgen",Springer Science & Business Media,2003-06-23,9783540002901,448,Medical,4.0,1,en,8
D-Day,Antony Beevor,Penguin,2009-10-13,9781101148723,921,History,3.5,6,en,1
Drawdown,Paul Hawken,Penguin,2017-04-18,9781524704650,258,Science,5.0,2,en,1
The Age of Sustainable Development,Jeffrey D. Sachs,Columbia University Press,2015-03-03,9780231539005,564,Political Science,5.0,1,en,5
Dishoom,"Shamil Thakrar, Kavi Thakrar, Naved Nasir",Bloomsbury Publishing,2019-09-05,9781408890660,752,Cooking,5.0,1,en,1
The Diary of Pelly D,L.J. Adlington,Hodder Children's Books,2010-09-02,9781444902952,149,Juvenile Fiction,5.0,1,en,5
The Aging Skeleton,"Clifford Rosen, Julie Glowacki, John P. Bilezikian",Elsevier,1999-08-19,9780080542379,667,Medical,5.0,1,en,3
Daughter of Smoke & Bone,Laini Taylor,"Little, Brown Books for Young Readers",2011-09-27,9780316192149,356,Young Adult Fiction,3.5,55,en,5
Untangled,Lisa Damour,Atlantic Books Ltd,2016-04-07,9781782395553,364,Family & Relationships,5.0,1,en,1
D'Aulaires' Book of Norse Myths,"Ingri d'Aulaire, Edgar Parin d'Aulaire",New York Review of Books,2005-05-31,9781590171257,188,Juvenile Fiction,5.0,2,en,5
"Blood Type O Food, Beverage and Supplement Lists",Dr. Peter J. D'Adamo,Penguin,2002-01-08,9781101220870,112,Health & Fitness,1.0,3,en,8
